"","b_prospectivememory_offloading","b_prospectivememory_monitoring","b_prospectivememory_stress","b_prospectivememory_importance","b_offloading_stress","b_offloading_importance","b_monitoring_importance","b_monitoring_stress","mediation_stress_on_offloading","mediation_imp_offloading","mediation_stress_on_monintoring","mediation_imp_on_monitoring","sd_b_prospectivememory_offloading","sd_b_prospectivememory_monitoring","sd_b_prospectivememory_stress","sd_b_prospectivememory_importance","sd_b_offloading_stress","sd_b_offloading_importance","sd_b_monitoring_importance","sd_b_monitoring_stress","sd_mediation_stress_on_offloading","sd_mediation_imp_offloading","sd_mediation_stress_on_monintoring","sd_mediation_imp_on_monitoring","sample_size"
"1",0.2,0.2,0.4,0.5,1,0.7,0.9,0.5,0.2,0.1,0.1,0.2,0.421637021355784,0.421637021355784,0.516397779494322,0.52704627669473,0,0.483045891539648,0.316227766016838,0.52704627669473,0.421637021355784,0.316227766016838,0.316227766016838,0.421637021355784,20
"2",0.25,0.25,0.55,0.5,1,0.85,0.95,0.7,0.25,0.2,0.2,0.25,0.444261658319319,0.444261658319319,0.51041778553404,0.512989176042577,0,0.366347548532523,0.223606797749979,0.470162345981627,0.444261658319319,0.410391340834062,0.410391340834062,0.444261658319319,40
"3",0.433333333333333,0.433333333333333,0.666666666666667,0.666666666666667,0.966666666666667,0.9,0.966666666666667,0.8,0.4,0.4,0.4,0.433333333333333,0.504006932993731,0.504006932993731,0.479463301485384,0.479463301485384,0.182574185835055,0.305128576629365,0.182574185835055,0.406838102172486,0.49827287912244,0.49827287912244,0.49827287912244,0.504006932993731,60
"4",0.55,0.575,0.7,0.725,0.975,0.925,0.975,0.85,0.525,0.525,0.55,0.575,0.503831473655779,0.500640615253123,0.464095480892257,0.452202586776303,0.158113883008419,0.266746782836918,0.158113883008419,0.36162028533979,0.505736325340815,0.505736325340815,0.503831473655779,0.500640615253123,80
"5",0.6,0.64,0.76,0.72,0.98,0.94,0.98,0.88,0.58,0.58,0.62,0.64,0.494871659305394,0.484873221385061,0.4314191105869,0.453557367611073,0.14142135623731,0.239897937482095,0.14142135623731,0.328260722659316,0.49856938190329,0.49856938190329,0.490314351478015,0.484873221385061,100
"6",0.666666666666667,0.683333333333333,0.783333333333333,0.75,0.983333333333333,0.95,0.983333333333333,0.9,0.65,0.65,0.666666666666667,0.683333333333333,0.475382688541528,0.469101798307298,0.415450201656585,0.436666882304686,0.129099444873581,0.219784177651083,0.129099444873581,0.302531690453766,0.480994731991308,0.480994731991308,0.475382688541528,0.469101798307298,120
"7",0.714285714285714,0.728571428571429,0.814285714285714,0.785714285714286,0.985714285714286,0.957142857142857,0.985714285714286,0.914285714285714,0.7,0.7,0.714285714285714,0.728571428571429,0.45501575519329,0.447907488229905,0.391683736027325,0.413288583699271,0.119522860933439,0.203997320649802,0.119522860933439,0.281962950740097,0.461566331377051,0.461566331377051,0.45501575519329,0.447907488229905,140
"8",0.75,0.7625,0.8375,0.8125,0.9875,0.9625,0.9875,0.925,0.7375,0.7375,0.75,0.7625,0.435744670330595,0.428236004966148,0.371236387893486,0.392774937971778,0.111803398874989,0.191182198207345,0.111803398874989,0.265053135346409,0.442768905635285,0.442768905635285,0.435744670330595,0.428236004966148,160
"9",0.777777777777778,0.788888888888889,0.855555555555556,0.833333333333333,0.988888888888889,0.966666666666667,0.988888888888889,0.933333333333333,0.766666666666667,0.766666666666667,0.777777777777778,0.788888888888889,0.418068801868939,0.410383335306915,0.353509248837612,0.374765844497931,0.105409255338946,0.180511134456912,0.105409255338946,0.250841281121363,0.425322085488744,0.425322085488744,0.418068801868939,0.410383335306915,180
"10",0.8,0.81,0.87,0.85,0.99,0.97,0.99,0.94,0.79,0.79,0.8,0.81,0.402015126103685,0.394277244403663,0.337997668989631,0.358870281282637,0.1,0.171446607997765,0.1,0.238683256575942,0.409360180740332,0.409360180740332,0.402015126103685,0.394277244403663,200
"11",0.818181818181818,0.827272727272727,0.881818181818182,0.863636363636364,0.990909090909091,0.972727272727273,0.990909090909091,0.945454545454545,0.809090909090909,0.809090909090909,0.818181818181818,0.827272727272727,0.387459809855867,0.379741363192238,0.324300749017294,0.344744892445689,0.0953462589245592,0.163622462573293,0.0953462589245592,0.228130159063992,0.394816286285909,0.394816286285909,0.387459809855867,0.379741363192238,220
